RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"16:45:00"	"2012-05-17"	"York"	"Bedouin Bay"	"25.00"	"32"	"Handicap"	"8"	"17"	"Tudhope, Daniel"	"McCabe, A J"	"5"	"20"
"15:35:00"	"2012-05-17"	"York"	"Pearl Secret"	"0.83"	"1.95"	"Non-Handicap"	"1"	"6"	"Spencer, Jamie"	"Barron, T D"	"3"	"20"
"16:45:00"	"2012-05-16"	"York"	"Nameitwhatyoulike"	"10.00"	"15.63"	"Handicap"	"4"	"17"	"Mulrennan, Paul"	"Easterby, M W"	"3"	"18"
"15:35:00"	"2011-05-13"	"York"	"Thirteen Shivers"	"16.00"	"20.42"	"Handicap"	"1"	"19"	"Nolan, D"	"Easterby, M W"	"3"	"16"
"15:35:00"	"2011-05-13"	"York"	"Gottcher"	"6.50"	"10"	"Handicap"	"7"	"19"	"Newman, L"	"Barron, T D"	"3"	"17"
"15:00:00"	"2011-05-13"	"York"	"Flood Plain"	"2.25"	"3.48"	"Non-Handicap"	"7"	"8"	"Buick, William"	"Gosden, J H M"	"3"	"16"
"14:30:00"	"2011-05-13"	"York"	"Free Agent"	"7.50"	"11"	"Non-Handicap"	"7"	"8"	"Moore, Ryan"	"Hannon, R"	"5"	"16"
"16:45:00"	"2011-05-12"	"York"	"Dark Ranger"	"28.00"	"38.3"	"Handicap"	"1"	"17"	"Levey, S M"	"Pitt, T J"	"5"	"19"
"16:45:00"	"2011-05-12"	"York"	"Boston Blue"	"16.00"	"22.15"	"Handicap"	"8"	"17"	"Swift, Mr Dale"	"Etherington, T J"	"4"	"19"
"15:35:00"	"2011-05-12"	"York"	"Night Carnation"	"0.67"	"1.77"	"Non-Handicap"	"1"	"8"	"Fortune, Jimmy"	"Balding, A M"	"3"	"18"
"15:00:00"	"2011-05-12"	"York"	"Wannabe King"	"14.00"	"20"	"Handicap"	"12"	"18"	"Durcan, Ted"	"Lanigan, D R"	"5"	"19"
"14:00:00"	"2011-05-12"	"York"	"Nouriya"	"14.00"	"16.5"	"Non-Handicap"	"6"	"8"	"Moore, Ryan"	"Stoute, Sir Michael"	"4"	"19"
"15:35:00"	"2011-05-11"	"York"	"Ubi Ace"	"20.00"	"27"	"Handicap"	"2"	"18"	"Gibbons, Graham"	"Walford, T D"	"5"	"18"
"14:30:00"	"2011-05-11"	"York"	"Joviality"	"5.00"	"6.67"	"Non-Handicap"	"1"	"5"	"Buick, William"	"Gosden, J H M"	"3"	"17"
"14:30:00"	"2011-05-11"	"York"	"Arizona Jewel"	"1.38"	"2.46"	"Non-Handicap"	"4"	"5"	"Queally, T P"	"Cecil, H R A"	"3"	"17"
"15:45:00"	"2010-05-13"	"York"	"Midnight Martini"	"3.00"	"4.39"	"Non-Handicap"	"2"	"9"	"Allan, David"	"Easterby, T D"	"3"	"19"
"15:10:00"	"2010-05-13"	"York"	"Fareer"	"5.50"	"7"	"Handicap"	"1"	"10"	"Hills, R"	"Dunlop, E A L"	"4"	"19"
