RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"15:55:00"	"2023-10-12"	"Ayr"	"Admiral D (IRE)"	"3.33"	"5.6"	"Handicap"	"3"	"12"	"Orr, Oisin"	"Fahey, R A"	"4"	"19"
"16:00:00"	"2023-09-26"	"Beverley"	"Marine Wave (IRE)"	"1.25"	"2.47"	"Non-Handicap"	"3"	"5"	"Orr, Oisin"	"Fahey, R A"	"3"	"4"
"17:30:00"	"2023-09-23"	"York"	"Golden Move"	"3.33"	"4.33"	"Handicap"	"3"	"9"	"Garritty, Jack"	"Fahey, R A"	"3"	"28"
"13:45:00"	"2023-09-22"	"Ayr"	"Flaccianello (IRE)"	"2.50"	"3.54"	"Handicap Nursery"	"1"	"6"	"Orr, Oisin"	"Fahey, R A"	"2"	"8"
"16:05:00"	"2023-09-18"	"Thirsk"	"Captain Dandy (IRE)"	"2.75"	"4.3"	"Handicap Seller"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"3"	"7"
"14:30:00"	"2023-08-30"	"Musselburgh"	"Swiftly"	"2.75"	"4.2"	"Handicap Nursery"	"8"	"9"	"Fanning, Joe"	"Fahey, R A"	"2"	"13"
"20:42:00"	"2023-08-17"	"Ayr"	"My Harrison George (IRE)"	"2.00"	"3.18"	"Handicap Maiden"	"3"	"8"	"Nolan, D"	"Fahey, R A"	"3"	"34"
"20:30:00"	"2023-08-10"	"Chepstow"	"Ramazan (IRE)"	"4.50"	"6.6"	"Handicap"	"1"	"12"	"Orr, Oisin"	"Fahey, R A"	"3"	"12"
"16:45:00"	"2023-08-10"	"Nottingham"	"Time To Rumble"	"2.25"	"3.6"	"Handicap"	"4"	"6"	"Garritty, Jack"	"Fahey, R A"	"4"	"24"
"16:45:00"	"2023-08-06"	"Haydock"	"Minnesota Lad (IRE)"	"1.50"	"2.67"	"Handicap"	"4"	"7"	"Orr, Oisin"	"Fahey, R A"	"3"	"1"
"16:15:00"	"2023-08-06"	"Haydock"	"Rainwater"	"0.80"	"1.8"	"Maiden"	"2"	"5"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"15:25:00"	"2023-08-05"	"Thirsk"	"Maywake"	"3.00"	"4.35"	"Handicap"	"1"	"9"	"Garritty, Jack"	"Fahey, R A"	"5"	"14"
"13:50:00"	"2023-08-05"	"Goodwood"	"Monsieur Kodi (IRE)"	"4.50"	"5.25"	"Handicap"	"1"	"11"	"Orr, Oisin"	"Fahey, R A"	"4"	"9"
"15:15:00"	"2023-08-03"	"Nottingham"	"Three Yorkshiremen (IRE)"	"0.62"	"1.7"	"Novices"	"1"	"6"	"Garritty, Billy"	"Fahey, R A"	"3"	"20"
"19:50:00"	"2023-07-28"	"York"	"Spirit Dancer"	"1.10"	"2.32"	"Handicap"	"1"	"6"	"Orr, Oisin"	"Fahey, R A"	"6"	"13"
"17:55:00"	"2023-07-24"	"Beverley"	"Airman (IRE)"	"0.73"	"1.9"	"Maiden"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"14:46:00"	"2023-07-22"	"Ripon"	"Tropical Island"	"1.75"	"2.91"	"Maiden"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"19:05:00"	"2023-07-21"	"Hamilton"	"Khunan"	"4.00"	"5.6"	"Handicap"	"4"	"13"	"Orr, Oisin"	"Fahey, R A"	"4"	"15"
"17:25:00"	"2023-07-20"	"Leicester"	"Bernie The Bear (IRE)"	"3.33"	"4.44"	"Handicap"	"4"	"15"	"Orr, Oisin"	"Fahey, R A"	"3"	"28"
"16:25:00"	"2023-07-08"	"Haydock"	"Ramazan (IRE)"	"2.75"	"4.09"	"Handicap"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"3"	"16"
"14:20:00"	"2023-07-07"	"Doncaster"	"Ravenglass (IRE)"	"4.00"	"5.3"	"Handicap"	"6"	"12"	"Nolan, D"	"Fahey, R A"	"4"	"10"
"17:20:00"	"2023-06-27"	"Beverley"	"Ski Jump (IRE)"	"2.75"	"3.99"	"Handicap"	"1"	"10"	"Garritty, Jack"	"Fahey, R A"	"3"	"32"
