RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"14:00:00"	"2025-03-14"	"Cheltenham"	"Hansard (IRE)"	"16.00"	"32.57"	"Handicap Hurdle"	"13"	"16"	"Houlihan, Niall F"	"Moore, Gary and Josh"	"2m1f "	"1"	"27"	"3"	"4"
"17:20:00"	"2025-03-13"	"Cheltenham"	"Wiseguy (IRE)"	"28.00"	"40.85"	"Handicap Chase"	"7"	"23"	"Newman, Mr Joshua"	"Henderson, N J"	"3m2.5f "	"2"	"26"	"6"	"11"
"17:20:00"	"2025-03-13"	"Cheltenham"	"Yeah Man (IRE)"	"11.00"	"15.31"	"Handicap Chase"	"9"	"23"	"Lavery, Mr D G"	"Cromwell, Gavin Patrick"	"3m2.5f "	"2"	"26"	"UR"	"9"
"17:20:00"	"2025-03-13"	"Cheltenham"	"Git Maker (FR)"	"14.00"	"18.45"	"Handicap Chase"	"10"	"23"	"Biddick, Mr W"	"Snowden, Jamie"	"3m2.5f "	"2"	"26"	"4"	"9"
"17:20:00"	"2025-03-13"	"Cheltenham"	"Cleatus Poolaw"	"33.00"	"41.94"	"Handicap Chase"	"PU"	"23"	"Swan, H C"	"Elliott, Gordon"	"3m2.5f "	"2"	"21"	"6"	"17"
"17:20:00"	"2025-03-13"	"Cheltenham"	"Mint Boy (IRE)"	"8.00"	"10.31"	"Handicap Chase"	"UR"	"23"	"ONeill, Mr B"	"Cromwell, Gavin Patrick"	"3m2.5f "	"2"	"21"	"3"	"8"
"16:40:00"	"2025-03-13"	"Cheltenham"	"Mars Harper"	"100.00"	"176.52"	"Handicap Chase"	"4"	"20"	"Roche, T P"	"Elliott, Gordon"	"2m5f "	"1"	"11"	"4"	"13"
"16:40:00"	"2025-03-13"	"Cheltenham"	"Demnat (FR)"	"20.00"	"28.75"	"Handicap Chase"	"9"	"20"	"Fox, Ned"	"Williams, Miss Venetia"	"2m5f "	"1"	"20"	"2"	"8"
"16:40:00"	"2025-03-13"	"Cheltenham"	"Tahmuras (FR)"	"80.00"	"128.27"	"Handicap Chase"	"PU"	"20"	"Burke, Jonathan"	"Nicholls, P F"	"2m5f "	"1"	"19"	"PU"	"13"
"14:40:00"	"2025-03-13"	"Cheltenham"	"Doddiethegreat (IRE)"	"25.00"	"32.86"	"Handicap Hurdle"	"1"	"24"	"Hughes, Brian"	"Henderson, N J"	"3m "	"1"	"26"	"2"	"13"
"14:40:00"	"2025-03-13"	"Cheltenham"	"Patter Merchant (IRE)"	"16.00"	"20.4"	"Handicap Hurdle"	"9"	"24"	"Kennedy, J W"	"Elliott, Gordon"	"3m "	"1"	"18"	"4"	"19"
"14:40:00"	"2025-03-13"	"Cheltenham"	"American Sniper (IRE)"	"40.00"	"52.64"	"Handicap Hurdle"	"12"	"24"	"Tudor, Jack"	"Pipe, D E"	"3m "	"1"	"29"	"6"	"11"
"14:40:00"	"2025-03-13"	"Cheltenham"	"Jai Froid (IRE)"	"100.00"	"351.94"	"Handicap Hurdle"	"18"	"24"	"Reed, Harry"	"Morgan, Miss Laura"	"3m "	"1"	"19"	"1"	"13"
"14:00:00"	"2025-03-13"	"Cheltenham"	"Omoore Park (IRE)"	"66.00"	"93.53"	"Handicap Novices Chase"	"3"	"19"	"OKeeffe, Sean F"	"Mullins, W P"	"2m5f "	"1"	"26"	"4"	"11"
"14:00:00"	"2025-03-13"	"Cheltenham"	"Es Perfecto (IRE)"	"33.00"	"45.84"	"Handicap Novices Chase"	"5"	"19"	"Bellamy, Tom"	"King, A"	"2m5f "	"1"	"28"	"1"	"6"
